basename,F_1,P,R
Bohisto_HS12b_119_object_17016,0.8147,0.7181,0.9414
ABP_S_Freyung_019_0087,0.8171,0.7365,0.9176
NAF_0441,0.8186,0.7049,0.9761
UCL_033_138_003,0.8187,0.7467,0.9061
BHIC_5117-077-0013,0.8188,0.7551,0.8942
UCL_034_124_001,0.8193,0.8497,0.791
ABP_T_Freyung_007-01_0036,0.8196,0.7835,0.8593
HUB_hufeland_sengoer_1827_0057,0.8198,0.6948,0.9998
EPFL_237,0.8207,0.7308,0.9358
UCL_095_053_001,0.821,0.8375,0.8052
Bohisto_HS_89_70_object_113601,0.8213,0.7189,0.9576
HUB_hufeland_sengoer_1827_0141,0.8221,0.734,0.9342
ABP_S_Otterskirchen_016_0008,0.8227,0.8066,0.8393
Bohisto_HS47b_288_object_28377,0.823,0.7157,0.9682
StAM_00000068,0.8232,0.7368,0.9327
UCL_015_561_002,0.8236,0.7172,0.9671
UCL_049_009_001,0.8236,0.9081,0.7534
UCL_100_207_004,0.8237,0.7782,0.8748
EPFL_53-1,0.8242,0.7991,0.8508
Bohisto_HS_74_219_object_135361,0.8243,0.7098,0.9829
ABP_S_Otterskirchen_016_0387,0.8244,0.7395,0.9313
UCL_045_614_001,0.8259,0.8768,0.7805
UCL_001_690_001,0.8264,0.7557,0.9116
UCL_097_093_001,0.8286,0.7705,0.8962
UCL_063_083_002,0.8289,0.9259,0.7503
UCL_045_254_001,0.8307,0.8162,0.8458
ABP_T_Otterskirchen_003_0402,0.8317,0.771,0.9027
UCL_033_075_003,0.8327,0.7528,0.9317
BHIC_5117-091-0021,0.8345,0.7729,0.9069
unibas_IMG_MAX_168989,0.8347,0.7326,0.97
UCL_41_375_002,0.8348,0.8646,0.807
UCL_039_219_001,0.836,0.8447,0.8275
ABP_T_Aigen_am_Inn_005_0123,0.8365,0.8316,0.8415
UCL_001_549_001,0.8371,0.7595,0.9324
UCL_045_072_001,0.8376,0.7596,0.9335
BHIC_5117-084-0031,0.838,0.7654,0.9258
ABP_M_Aigen_am_Inn_003-01_0056,0.8382,0.766,0.9254
BHIC_5117-085-0023,0.8391,0.7425,0.9645
ABP_T_Otterskirchen_003_0023,0.8396,0.8955,0.7903
ABP_S_Freyung_043-01_0139,0.8397,0.8365,0.8428
unibas_IMG_MAX_34355,0.8401,0.75,0.9547
NAF_0225,0.8402,0.8075,0.8757
BHIC_5117-091-0003,0.8405,0.8402,0.8408
UCL_101_131_001,0.8405,0.8477,0.8335
BHIC_5117-086-0031,0.8413,0.7881,0.9023
ABP_T_Otterskirchen_004_0157,0.8414,0.7478,0.9619
ABP_T_Aigen_am_Inn_003-02_0084,0.8416,0.7483,0.9615
UCL_052_402_001,0.842,0.8741,0.8122
Bohisto_HS_101_929_object_115200,0.8426,0.7394,0.9794
EPFL_569,0.843,0.8399,0.8461
EPFL_334,0.843,0.7329,0.992
StAM_00000039-1,0.8432,0.8463,0.8401
Bohisto_HS_122_494_object_141007,0.8432,0.735,0.9887
Bohisto_HS_129_505_object_122053,0.8443,0.7356,0.9907
ABP_S_Otterskirchen_016_0324,0.8445,0.7853,0.9134
EPFL_361,0.8461,0.7594,0.9551
unibas_IMG_MAX_615569,0.8464,0.742,0.9848
Bohisto_HS_77_85_object_106048,0.8465,0.7466,0.9773
Bohisto_HS_123_171_object_141297,0.8473,0.7529,0.9687
Bohisto_HS_79_530_object_131645,0.8485,0.748,0.9802
EPFL_199,0.8489,0.8646,0.8338
unibas_IMG_MAX_1090347,0.8493,0.8017,0.9031
NAF_0553,0.8493,0.7489,0.9808
BHIC_5117-084-0029,0.8498,0.7755,0.9399
StAM_00000275,0.8504,0.8268,0.8754
UCL_046_042_004,0.8506,0.806,0.9004
unibas_IMG_MAX_744548,0.8506,0.7406,0.9989
